ppo_step,stage,mean_hacking_freq,mean_reasoning_freq,mean_stable_freq,n_hacking_feats,n_reasoning_feats
0.0,sft,0.007397831422584673,0.04100117856327712,0.003968858819388555,2130,2491
10.0,ppo_step10,0.0075675313747448104,0.04143520625270991,0.0034024575755692405,2130,2491
50.0,ppo_step50,0.008134753082348749,0.041408107607531004,0.002954605428563138,2130,2491
100.0,ppo_step100,0.008208804475129746,0.04128509581066602,0.0030129850877761415,2130,2491
110.0,ppo_step110,0.01795832155184763,0.01752098769640126,0.01810129354613346,2130,2491
120.0,ppo_step120,0.018200300261770865,0.018379928995373957,0.01705887605574447,2130,2491
130.0,ppo_step130,0.017819282028331135,0.017009892228199142,0.018717427534096293,2130,2491
140.0,ppo_step140,0.017028320797708437,0.01779597975979456,0.01861008676916492,2130,2491
150.0,ppo_step150,0.017778087990935464,0.017596340674078868,0.0181783226413214,2130,2491
160.0,ppo_step160,0.01668677023609716,0.018559183546975614,0.018149294534803264,2130,2491
170.0,ppo_step170,0.017890054667461106,0.01776398714083847,0.017920727078128956,2130,2491
180.0,ppo_step180,0.018160927372839936,0.016283791199952026,0.01914185342115537,2130,2491
190.0,ppo_step190,0.018314598834757858,0.016988857402189698,0.018323777305972278,2130,2491
200.0,ppo_step200,0.05009060238244977,0.005587896139338193,0.002900497738865769,2130,2491
300.0,ppo_step300,0.050401258774508566,0.005041511726977023,0.0031750738567642082,2130,2491
435.0,ppo_step435,0.049689356211303944,0.00558059481173913,0.003243191817661418,2130,2491
